# Directed and weighted edge list from Slashdot0811.txt
# FromNodeId ToNodeId Weight
0 0 3
0 1 6
0 2 2
0 3 6
0 4 5
0 5 7
0 6 5
0 7 10
0 8 10
0 9 6
0 10 7
0 11 10
0 12 7
0 13 6
0 14 3
0 15 9
0 16 1
0 17 5
0 18 2
0 19 5
0 20 2
0 21 6
0 22 8
0 23 9
0 24 1
0 25 5
0 26 2
0 27 8
0 28 8
0 29 7
0 30 5
0 31 4
0 32 5
0 33 2
0 34 9
0 35 6
0 36 3
0 37 5
0 38 5
0 39 10
0 40 6
0 41 4
0 42 8
0 43 6
0 44 4
0 45 4
0 46 6
0 47 5
0 48 5
0 49 6
0 50 5
0 51 7
0 52 5
0 53 5
0 54 4
0 55 5
0 56 5
0 57 4
0 58 8
0 59 9
0 60 10
0 61 6
0 62 7
0 63 8
0 64 8
0 65 4
0 66 10
0 67 5
0 68 8
0 69 8
0 70 10
0 71 8
0 72 7
0 73 6
0 74 3
0 75 8
0 76 1
0 77 5
0 78 3
0 79 7
0 80 6
0 81 1
0 82 2
0 83 2
0 84 3
0 85 4
0 86 1
0 87 1
0 88 3
0 89 10
0 90 1
0 91 6
0 92 6
0 93 4
0 94 5
0 95 7
0 96 6
0 97 1
0 98 1
0 99 5
0 100 10
0 101 1
0 102 1
0 103 4
0 104 9
0 105 9
0 106 2
0 107 1
0 108 5
0 109 10
0 110 5
0 111 9
0 112 9
0 113 9
0 114 7
0 115 8
0 116 9
0 117 6
0 118 5
0 119 10
0 120 1
0 121 8
0 122 9
0 123 5
0 124 10
0 125 8
0 126 4
0 127 4
0 128 4
0 129 4
0 130 1
0 131 3
0 132 4
0 133 6
0 134 2
0 135 9
0 136 8
0 137 4
0 138 5
0 139 2
0 140 10
0 141 7
0 142 3
0 143 7
0 144 9
0 145 9
0 146 4
0 147 6
0 148 1
0 149 3
0 150 5
0 151 9
0 152 7
0 153 3
0 154 6
0 155 4
0 156 5
0 157 10
0 158 1
0 159 3
0 160 10
0 161 3
0 162 8
0 163 6
0 164 6
0 165 9
0 166 6
0 167 8
0 168 1
0 169 3
0 170 5
0 171 8
0 172 4
0 173 7
0 174 4
0 175 3
0 176 5
0 177 8
0 178 7
0 179 2
0 180 8
0 181 1
0 182 4
0 183 5
0 184 7
0 185 2
0 186 10
0 187 3
0 188 9
0 189 5
0 190 7
0 191 3
0 192 4
0 193 6
0 194 4
0 195 2
0 196 1
0 197 3
0 198 4
0 199 1
0 200 3
0 201 1
0 202 8
0 203 4
0 204 10
0 205 6
0 206 9
0 207 7
0 208 9
0 209 6
0 210 9
0 211 1
0 212 1
0 213 7
0 214 8
0 215 5
1 0 8
1 1 3
1 3 9
1 17 6
1 57 2
1 89 5
1 91 8
1 92 4
1 125 4
1 145 4
1 147 8
1 151 2
1 166 3
1 167 1
1 177 9
1 184 7
1 209 7
1 217 2
1 225 5
1 282 6
1 283 2
1 376 7
1 468 7
1 653 9
1 699 2
1 710 1
1 729 4
1 913 6
1 1091 1
1 1224 1
1 1361 1
1 1373 7
1 1477 10
1 1560 5
1 1569 3
1 1900 1
1 2230 10
1 2358 4
1 2366 1
1 2384 6
1 2490 6
1 2511 2
1 2529 1
1 2553 10
1 2721 7
1 2811 9
1 2938 6
1 2961 10
1 3450 2
1 3540 10
1 3827 2
1 3940 4
1 4111 3
1 4366 9
1 4660 2
1 4661 2
1 4662 10
1 4663 5
1 4664 7
1 4665 7
1 4666 9
1 4667 6
1 4668 2
1 4669 5
1 4670 4
1 4671 9
1 4672 9
1 4673 7
1 4674 1
1 4675 9
1 4676 7
1 4677 3
1 4678 6
1 4679 5
1 4680 10
1 4681 8
1 4682 10
1 4683 9
1 4684 10
1 4685 5
1 4686 5
1 4687 8
1 4688 7
1 4689 6
1 4690 3
1 4691 4
1 4692 8
1 4693 8
1 4694 3
1 4695 4
1 4696 7
1 4697 2
1 4698 10
1 4699 10
1 4700 9
1 4701 10
1 4702 8
1 4703 10
1 4704 2
1 4705 10
1 4706 4
1 4707 7
1 4708 9
1 4709 4
1 4710 8
1 4711 9
1 4712 6
1 4713 3
1 4714 6
1 4715 10
1 4716 7
1 4717 9
1 4718 9
1 4719 2
1 4720 9
1 4721 8
1 4722 5
1 4723 3
1 4724 7
1 4725 6
1 4726 2
1 4727 1
1 4728 6
1 4729 9
1 4730 10
1 4731 10
1 4732 3
1 4733 6
1 4734 8
1 4735 2
1 4736 6
1 4737 6
1 4738 8
1 4739 8
1 4740 2
1 4741 9
1 4742 3
1 4743 2
1 4744 3
1 4745 9
1 4746 3
1 4747 10
1 4748 3
1 4749 9
1 4750 1
1 4751 1
1 4752 2
1 4753 1
1 4754 4
1 4755 7
1 4756 4
1 4757 10
1 4758 2
1 4759 1
1 4760 8
1 4761 5
1 4762 6
1 4763 1
1 4764 6
1 4765 5
1 4766 9
1 4767 5
1 4768 9
1 4769 8
1 4770 10
1 4771 10
1 4772 9
2 0 7
2 2 10
2 15 2
2 17 4
2 25 2
2 46 4
2 57 2
2 84 4
2 95 10
2 111 4
2 140 9
2 143 9
2 147 2
2 151 6
2 165 10
2 176 9
2 192 8
2 239 1
2 272 2
2 394 7
2 395 3
2 398 9
2 400 3
2 408 3
2 505 3
2 510 3
2 576 6
2 647 9
2 818 10
2 837 2
2 923 8
2 996 9
2 1042 6
2 1219 2
2 1270 3
2 1367 6
2 1699 4
2 1902 1
2 1912 9
2 1938 4
2 2031 8
2 2077 2
2 2128 10
2 2138 3
2 2319 1
2 2358 1
2 2483 5
2 2490 8
2 2511 8
2 2571 10
2 2581 10
2 2588 8
2 4773 1
2 4774 2
3 0 8
3 1 7
3 3 7
3 95 5
3 105 4
3 125 8
3 377 2
3 441 4
3 677 5
3 889 6
3 1220 1
3 1334 10
3 1426 4
3 1502 9
3 1825 7
3 2258 9
3 2366 6
3 2370 7
3 2501 8
3 2531 5
3 2778 5
3 3717 2
3 4097 5
3 4209 1
3 4217 6
3 4366 10
3 4569 2
3 4680 2
3 4699 6
3 4736 4
3 4748 3
3 4775 4
3 4776 6
3 4777 5
3 4778 3
3 4779 6
3 4780 6
3 4781 8
3 4782 10
3 4783 8
3 4784 7
3 4785 4
3 4786 2
3 4787 7
3 4788 1
